路由列表
+---------------------------------------------+---------+------------------------------------------------------------------------------------------+----------------------------------------------------+------+
| URI                                         | 方法    | 回调                                                                                     | 中间件                                             | 名称 |
| /app/help/system/uploadFile                 | POST    | ["plugin\\help\\app\\controller\\SystemController","uploadFile"]                         | ["plugin\\saiuser\\app\\middleware\\SaiUserCheck"] |      |
| /app/help/tasks/calendar                    | GET     | ["plugin\\help\\app\\controller\\TimelineController","calendar"]                         | ["plugin\\saiuser\\app\\middleware\\SaiUserCheck"] |      |
| /app/help/task/finish                       | POST    | ["plugin\\help\\app\\controller\\TimelineController","finishTask"]                       | ["plugin\\saiuser\\app\\middleware\\SaiUserCheck"] |      |
| /app/help/task/custom                       | POST    | ["plugin\\help\\app\\controller\\TimelineController","createCustomTask"]                 | ["plugin\\saiuser\\app\\middleware\\SaiUserCheck"] |      |
| /app/help/assessment/task/detail            | GET     | ["plugin\\help\\app\\controller\\AssessmentController","taskDetail"]                     | ["plugin\\saiuser\\app\\middleware\\SaiUserCheck"] |      |
| /app/help/assessment/task/submit            | POST    | ["plugin\\help\\app\\controller\\AssessmentController","submitTask"]                     | ["plugin\\saiuser\\app\\middleware\\SaiUserCheck"] |      |
| /app/help/material/categories               | GET     | ["plugin\\help\\app\\controller\\MaterialController","categories"]                       | ["plugin\\saiuser\\app\\middleware\\SaiUserCheck"] |      |
| /app/help/material/list                     | GET     | ["plugin\\help\\app\\controller\\MaterialController","list"]                             | ["plugin\\saiuser\\app\\middleware\\SaiUserCheck"] |      |
| /app/help/material/detail                   | GET     | ["plugin\\help\\app\\controller\\MaterialController","detail"]                           | ["plugin\\saiuser\\app\\middleware\\SaiUserCheck"] |      |
| /app/help/material/comments                 | GET     | ["plugin\\help\\app\\controller\\MaterialController","comments"]                         | ["plugin\\saiuser\\app\\middleware\\SaiUserCheck"] |      |
| /app/help/material/comment                  | POST    | ["plugin\\help\\app\\controller\\MaterialController","comment"]                          | ["plugin\\saiuser\\app\\middleware\\SaiUserCheck"] |      |
